,The Team of Quantum Thinking Led by East China Normal University,丁华建,丁峰,丁敏,丁晨,丁玉强,万林春,丛国涛,丛爽,丛红璐,严冬,严海生,乔涵,乔玉洁,于佳,于浩,于锦涛,付皓斌,付祥,付芹,付震宇,仝殿民,代金鞘,任佳骏,任元,任学藻,任捷,任波,任益充,任继刚,任钊恒,伍俊,伍文涛,伍玮,佃松宜,何业锋,何峰,何德彪,何思璇,何明,何晓,何良明,何键浩,佘彦超,余少刚,余松,侯兴元,侯宝成,保安,俞兵,俞学豪,俞惠芳,俞炯弛,倪志,倪明,倪海桥,傅双双,傅喜泉,傅月平,公卫江,冯加贵,冯坤鸿,冯宝,冯江惠,冯畅,冯胜,冯舟靓,冯雁,刘世民,刘世韦,刘乾,刘亚雪,刘亮,刘伍明,刘俊扬,刘军伟,刘冰,刘凌旗,刘勇飞,刘哲,刘天文,刘奎,刘尊龙,刘小涵,刘峰,刘希宇,刘广钟,刘彪,刘慧,刘攀,刘政良,刘斌,刘时杰,刘昂,刘晓楠,刘朝峰,刘欣瑞,刘正昊,刘海港,刘涛,刘燕文,刘猛,刘瑶瑶,刘璐,刘磊,刘胜帅,刘艳红,刘芷仪,刘言锐,刘达权,刘进,刘通,刘邦宇,刘金峰,刘镇,刘雨亭,刘雪莹,刘霞,刘靖阳,初鹏程,劳南新,华南,华硕,卓志瑶,单磊,南苏琴,卜洪波,卞宇翔,卢亚鹏,卢晓同,卢朓,卢本全,卢海舟,卢爱平,卫宏儒,卫容宇,危语嫣,双山,史书姝,史舜阳,叶伏秋,叶天语,叶梦,司宗国,吕东燕,吕丽花,吕兵,吕劲,吕嘉欣,吕德胜,吕海翠,吕金虎,吕颜轩,吴佳楠,吴俊杰,吴克奇,吴冠宏,吴冬妮,吴培亨,吴帆,吴建达,吴德伟,吴怡婷,吴文渊,吴文玲,吴昊,吴步娇,吴永政,吴泽,吴淞波,吴玉椿,吴磊,吴立强,吴群,吴迪,周丽娟,周全兴,周创,周原,周媛媛,周子恒,周宗权,周小清,周岩,周强,周振威,周文婷,周旋,周日贵,周晓凡,周朕,周海涛,周湃,周玲霞,周瑶瑶,周绪川,周芬,周萍,周贤韬,周辉,唐世彪,唐延甫,唐歡,唐茜,唐诗生,唐顺磊,商敬龙,商校,夏云杰,夏志广,夏明高,夏继宏,夏雪飞,姚文秀,姚涛,姚瑶,姚璐阳,姚鑫,姜学峰,姜海燕,姜瑶瑶,姜童,孔令冉,孔凡玉,孔鹏,孙俊,孙国柱,孙太平,孙宝权,孙宝清,孙家涛,孙年春,孙建平,孙悦,孙浩林,孙添资,孙爱晶,孙羽,孙翔,孙舒宁,孙钟齐,孙铭烁,孟胜,季文韬,季阳,安家乐,宋子旋,宋悦,宋慧超,宋日尧,宋昭阳,宋晓书,宋永成,宋海智,宫明,宿非凡,寇元哲,尚云,尤冰凌,尤立星,尤越,尹柱财,尹鑫钰,尹默娟,屈求智,展德会,崔亮,崔巍,崔梦天,崔雨晴,巩龙延,巫光福,帅志刚,常宏,常泓,庄希宁,应利良,庞嘉璐,庞建民,康亚伟,康婕,康小丽,康帅,康晓兰,廉超,廖一鹏,廖开宇,廖文良,廖金宇,延英,张一方,张东方,张中亚,张亚,张仁强,张仕斌,张凯,张凯煜,张利剑,张卷美,张向东,张启发,张国峰,张国锋,张坤,张大命,张天乐,张寿,张巍,张平,张彪,张彬,张影,张志强,张悦,张振兴,张文彬,张文慧,张斯淇,张新定,张旭,张春辉,张晓东,张晓莉,张晨洁,张智明,张梅舒,张梅香,张毅,张永棠,张洁,张海懿,张焕国,张玉春,张盼,张真真,张硕,张秀再,张罡,张美玲,张艳超,张萃,张萌,张蔚曦,张蕾,张诗豪,张超,张迪,张金峰,张钦伟,张静,张飞扬,张首刚,强晓斌,强雨薇,彭万里,彭俊坛,彭家寅,彭志勇,彭承志,彭炜,彭真明,徐军,徐天婕,徐小凤,徐尹翔,徐忠孝,徐忻怡,徐江涛,徐炜遐,徐瑞,徐秋亮,徐红星,徐茜,徐辰华,徐雅斌,徐顺,忻俊,戈君,成书杰,戴子恒,戴玉鹏,戴瑛,戴路,敬波,方伟,方允,方兴,方苏,於亚飞,昌燕,明静,曲宝,曲登科,曹俊诚,曹凯源,曹原,曹林,曹沐,曹海静,曹连振,曹阳,曾丽娟,曾充,曾柏云,朱冬梅,朱家纬,朱家骥,朱广宇,朱林全,朱永生,朱浩,朱涛,朱虹,朱诗亮,朱雅静,朱高岩,权润爱,李世中,李世渊,李丹,李丽娜,李云,李云坤,李亚妮,李传锋,李佳豪,李俊霖,李健,李元和,李军,李军奇,李勇,李卓,李占成,李叔伦,李国春,李坦,李城,李增鹏,李天秀,李婷,李子臣,李孟辉,李宁,李宏,李宏芳,李小英,李尧翀,李干明,李庆回,李志慧,李忠明,李扬,李振伟,李振华,李文文,李文靖,李斌,李晓林,李晓瑜,李晓鹏,李曙光,李有泉,李朝红,李林,李涛,李淑静,李渊华,李炜康,李琳,李琼,李瑞豪,李瑞鑫,李番,李百宏,李盼池,李睿宗,李祥琴,李秋贤,李维唐,李绿周,李美萱,李艳平,李芬,李芮,李英德,李荟,李莉,李萌,李雅男,李雪杨,李雪艳,李霞霞,杜江峰,杜秀丽,杨丽,杨保东,杨光,杨冠卓,杨利,杨国松,杨国武,杨子祥,杨宇光,杨家豪,杨小汶,杨帅,杨帆,杨影,杨昊,杨春燕,杨晓元,杨永强,杨舜禹,杨艾红,杨莎,杨钊华,杨阳,杨鸿儒,林剑萍,林子栋,林崧,林星,林运国,林键,林飞,柏文凯,柏明强,柳人菊,柳晓军,柳曙光,柴笑晗,栗帅,梁九卿,梁恬恬,梁昂昂,梁潘婷,樊代和,樊奔,樊强,樊景涛,武娜,段隆振,毛堉昊,毛宜钰,毛彩霞,水恒华,江开军,江明明,江红民,江舵,江英华,江迅达,汤云琪,汪凯蔚,汪定,汪斌,汪涛,汪皓,沈培鑫,沈星,沈琦琦,沈瑶,沈诗羽,洪军,洪文晶,洪玲,涂海涛,温巧燕,温辛花,温金录,游佩桅,游达章,潘世杰,潘佳政,潘卫军,潘宇,焦浩乐,焦育威,熊家琪,熊康林,熊振宇,燕婷,牛亦杰,牛刘敏,牛成旺,牛智川,王一军,王一诺,王丹,王云江,王亚,王亚星,王伟,王俊萍,王俊超,王俊辉,王保仓,王健,王元赫,王军旗,王凤和,王力,王叶兵,王后珍,王国建,王圣智,王坤坤,王大林,王好南,王子,王学文,王宇,王宝楠,王小霞,王少华,王帮海,王庆伟,王建伟,王忠亮,王思颖,王恩,王敏帅,王敏杰,王方,王旭东,王昊,王昌雷,王明宇,王晓袁,王晨,王林杰,王梦雯,王森,王永良,王洪,王海,王潮,王炜皓,王玉鹏,王珍,王琛,王琴,王美姣,王美红,王翔宇,王耕耘,王艳,王芙蓉,王苏敏,王茜茜,王蕊聪,王辉,王远珩,王金东,王鑫,王银珠,王长,王雅君,王震,王飞,王馨德,王骁,王骢,王鹏,王鹤峰,田博宇,田宇,田宏,田建国,田志富,田昌海,田野,田颖,田龙,白倩,白志明,白慧婷,白文杰,白璐,白艳锋,白金海,石少全,石磊,石韬,祁阳,祝世宁,秦亚媛,秦忠忠,秦成兵,秦素娟,程亚,程化,程广明,程甘霖,程稳,程节,程金光,程鹤楠,穆磊,窦天琦,窦寅,窦星磊,窦秀明,窦通,章培军,童培庆,符浩,笪诚,粟栗,索磊,红兰,纪洪艳,纪爱玲,结昆仑,缪波,缪麟,罗传军,罗佳,罗光毅,罗卫东,罗国忠,罗广军,罗庆斌,罗敏,罗晓峰,罗运文,罗钰杰,翟国芳,翟梦思,翟淑琴,翟福强,耿延雷,耿茂洁,聂凯明,聂敏,聂正蔚,肖勇军,肖姗,肖景林,肖海龙,肖磊,肖连团,肖钧匀,胡予濮,胡伟方,胡光桃,胡凌志,胡建勇,胡强,胡栋,胡水明,胡永红,胡涛,胡跃光,胡雅梦,胡雪元,胡顺仿,胡风,胥亮,艾克拜尔·斯地木,艾克拜尔·阿木提江,艾则孜姑丽·阿不都克热木,艾合买提·阿不力孜,芦殿军,苏国珍,苏少龙,苏山河,苏晓龙,苏杰,苏石磊,苏醒,苑光明,苑朋彬,苗强,范宇腾,范洪义,范静怡,荆丽娜,荆杰泰,荣亮亮,莫智文,萨楚尔夫,董博为,董建平,董文翰,董明慧,董智翔,董曜,董瑞芳,董道毅,董雅宾,蒋军,蒋文杰,蒋翔宇,蒋腾,蒲涛,蔡吾豪,蔡子,蔡远文,蔡鑫伟,薛丽,薛娇阳,薛程,薛舒东,薛阳,薛鹏,虞味,袁明,袁晓娟,袁林光,袁楠,袁骁,裴思辉,裴昌幸,解舒云,许传龙,许华醒,许国富,许怒,许盛伟,许秀来,许金时,谢佳,谢凯强,谢博阳,谢四江,谢婷,谢旭明,谢昱,谢景明,谢燕,谢琪,谢衎祺,谭业腾,谭云杰,谭威,谭智勇,谷开慧,豆成杰,贡昊,贺启亮,贺娟,贺文宇,贺春林,贾晓军,贾欣燕,贾浪峰,贾炜光,贾玮,贾锁堂,赖俊森,赖炫扬,赵丹,赵俊,赵健,赵加强,赵培茈,赵士平,赵天明,赵子岩,赵宁,赵寿宽,赵彤,赵恒邦,赵慧,赵敬芬,赵文玉,赵晓晖,赵涛,赵生妹,赵荣彩,赵运磊,赵邦宇,赵露涵,车良宇,辛罡,辜鹏宇,迪丽达尔·海依提江,邓东灵,邓琦琦,邓瑞浩,邢莉娟,邢镔,邢雪燕,邬云文,邱少明,邱春印,邱松,邱桃荣,邵启明,邹剑,邹璇彭凡,郁楠,郑东宁,郑仰东,郑兴荣,郑吉林,郑嘉彤,郑宇真,郑斗斗,郑涛,郑煜臻,郑燕飞,郑瑾,郑耀辉,郑远林,郑雨军,郝向英,郭卫军,郭国平,郭婷婷,郭岩,郭晨飞,郭梦琪,郭楚,郭洪菊,郭滨,郭熠,郭玲,郭瑞,郭瑞翔,郭苹,郭躬德,郭迎,郭邦红,金伟其,金毅,金钊,金锐博,钟鸣,钟鸿盛,钮月萍,闫丽,闫丽丽,闫晓宏,闫晨红,闫智辉,闫柯,阎昊,阮东,阿依尼沙·牙生,阿拉帕提·阿不力米提,陆春悦,陆晓铭,陆湘琪,陆莹,陈冰儿,陈刚,陈力荣,陈华俊,陈大强,陈娇娇,陈娟,陈宇,陈宇辉,陈家明,陈岳涛,陈峰,陈徐宗,陈志华,陈志远,陈思昊,陈昭昀,陈木法,陈树琪,陈梦涵,陈毓锴,陈海霞,陈烈裕,陈玺,陈理想,陈瑞云,陈瑞明,陈祺东,陈羽臻,陈翔,陈莹,陈西浩,陈辰,陈金灿,陈钢,陈钰洁,陈险峰,陈雅琴,陈颖,陶云亭,陶志炜,雍海林,靳亚晴,韦娜娜,韩冰,韩凯捷,韩林,韩森,韩泽尧,韩海燕,韩益亮,项晓,顾海艳,颜波,颜辉,饶瑞中,马世帮,马啸,马宗敏,马海强,马玉林,马瑞芬,马翥,马腾飞,马荣,马菁汀,马钟,马鸿洋,骆珠光,骆顺龙,高丽,高俊杰,高先龙,高军涛,高华,高天佑,高子凯,高庆,高德营,高波,高浩锋,高琼,高静,高飞,魏天丽,魏正军,魏璐,魏红,鲁大为,鲁智德,鲍皖苏,麻甜甜,黄丽,黄军浩,黄合良,黄君辉,黄尚江,黄彪,黄文体,黄曦,黄欣沂,黄永梅,黄汛,黄祎祎,黄翊东,黄贤伟,黄雅婷,黄靖怡,黎勇,黎勇宏,黎超健,黎颖,龙桂鲁,龙虎,龚云洪,龚尚庆
The Team of Quantum Thinking Led by East China Normal University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丁华建,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丁峰,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
